graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
7graph_62_25_1000.dimacs;square_mesh;dfs;186000;13997.167163000;90459;186000;0.486338710;94374;3846;0;0;0.000001640;0.000040233;0.000007220;0.000000003;0.000007169;0.828281513;0.098028681;0.097479943;-1;-1;-1;-1
7graph_62_25_1000.dimacs;square_mesh;fat;186000;275.576198000;295;3304022.999440419;0.000089285;94374;3846;0;0;0.000009898;0.000242890;0.000000142;0.000000043;0.000004850;1;1;1;0.000260010;0.000260010;0.108430755;0.831407821
7graph_62_25_1000.dimacs;square_mesh;scaling;186000;103.540965000;602;186000;0.003236559;94374;3846;0;0;0.000001822;0.000044720;0.000000053;0.000000007;0.000014895;0.316977729;0.091019001;0.054719147;-1;-1;-1;-1
8graph_64_25_1000.dimacs;square_mesh;bfs;192000;4494.668717000;15515;412373544;0.000037624;100628;4098;0.080285805;0.000488043;0.000002879;0.000070693;0.000013393;0.000001383;0.000001411;1.000244021;1;1;-1;-1;-1;-1
8graph_64_25_1000.dimacs;square_mesh;dfs;192000;16493.441555000;98235;192000;0.511640625;100628;4098;0;0;0.000001668;0.000040971;0.000049145;0.000000003;0.000007164;0.825471388;0.100067383;0.099640933;-1;-1;-1;-1
8graph_64_25_1000.dimacs;square_mesh;fat;192000;305.775819000;300;3532193.095039090;0.000084933;100628;4098;0;0;0.000010129;0.000248720;0.000000911;0.000000042;0.000004963;1;1;1;0.000244021;0.000244021;0.110490188;0.847606387
8graph_64_25_1000.dimacs;square_mesh;scaling;192000;115.957027000;625;192000;0.003255208;100628;4098;0;0;0.000001844;0.000045274;0.000000346;0.000000006;0.000014291;0.318923963;0.096606861;0.058012148;-1;-1;-1;-1
9graph_66_25_1000.dimacs;square_mesh;bfs;198000;4937.596407000;16635;466663356;0.000035647;107082;4358;0.081134084;0.000458926;0.000002772;0.000068109;0.000003291;0.000001332;0.000001358;1.000229463;1;1;-1;-1;-1;-1
9graph_66_25_1000.dimacs;square_mesh;dfs;198000;19614.473915000;108526;198000;0.548111111;107082;4358;0;0;0.000001688;0.000041472;0.000013073;0.000000003;0.000007153;0.823526415;0.101461562;0.101217162;-1;-1;-1;-1
9graph_66_25_1000.dimacs;square_mesh;fat;198000;365.087199000;313;3768245.756723101;0.000083063;107082;4358;0;0;0.000010893;0.000267649;0.000000243;0.000000042;0.000005338;1;1;1;0.000229463;0.000229463;0.108961882;0.836256025
9graph_66_25_1000.dimacs;square_mesh;scaling;198000;135.866349000;650;198000;0.003282828;107082;4358;0;0;0.000001952;0.000047964;0.000000091;0.000000006;0.000016181;0.305658559;0.090155223;0.054096846;-1;-1;-1;-1
10graph_68_25_1000.dimacs;square_mesh;bfs;204000;5815.803184000;17920;526142736;0.000034059;113736;4626;0.082282655;0.000432339;0.000002853;0.000070156;-0.000003383;0.000001371;0.000001398;1.000216169;1;1;-1;-1;-1;-1
10graph_68_25_1000.dimacs;square_mesh;dfs;204000;22944.442112000;118222;204000;0.579519608;113736;4626;0;0;0.000001706;0.000041954;-0.000013345;0.000000002;0.000007137;0.821083127;0.103006545;0.102851754;-1;-1;-1;-1
