graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
7graph_3490_25_1000.dimacs;matching;dfs;3490000;89.099610000;3490;3490000;0.001000000;94230;6982;0;0;0.000000271;0.000003657;-0.000000225;0.000000024;0.000006689;0.268894759;0.020445417;0.010291278;-1;-1;-1;-1
7graph_3490_25_1000.dimacs;matching;fat;3490000;1785.114250000;3490;4096139.579861360;0.000852022;94230;6982;0;0;0.000005428;0.000073259;-0.000004515;0.000000016;0.000002617;1;1;1;0.000143225;0.000143225;0.074084686;0.384205175
7graph_3490_25_1000.dimacs;matching;scaling;3490000;830.574431000;3490;3490000;0.001000000;94230;6982;0;0;0.000002526;0.000034086;-0.000002101;0.000000091;0.000023842;0.567501861;0.060412613;0.031940176;-1;-1;-1;-1
8graph_3655_25_1000.dimacs;matching;bfs;3655000;1990.645709000;3655;721584720;0.000005065;98685;7312;0.056047018;0.000275872;0.000005519;0.000074485;0.000001918;0.000002569;0.000002661;1.000136761;1;1;-1;-1;-1;-1
8graph_3655_25_1000.dimacs;matching;dfs;3655000;95.074724000;3655;3655000;0.001000000;98685;7312;0;0;0.000000264;0.000003557;0.000000092;0.000000022;0.000006510;0.268291016;0.020470539;0.010305415;-1;-1;-1;-1
8graph_3655_25_1000.dimacs;matching;fat;3655000;2004.051086000;3655;4302950.207964807;0.000849417;98685;7312;0;0;0.000005556;0.000074987;0.000001931;0.000000015;0.000002679;1;1;1;0.000136761;0.000136761;0.074084207;0.384205750
8graph_3655_25_1000.dimacs;matching;scaling;3655000;934.344752000;3655;3655000;0.001000000;98685;7312;0;0;0.000002590;0.000034961;0.000000900;0.000000089;0.000024564;0.563757682;0.060229529;0.031841534;-1;-1;-1;-1
9graph_3820_25_1000.dimacs;matching;bfs;3820000;2164.994390000;3820;788195880;0.000004847;103140;7642;0.056045181;0.000263953;0.000005495;0.000074163;0.000001759;0.000002558;0.000002649;1.000130856;1;1;-1;-1;-1;-1
9graph_3820_25_1000.dimacs;matching;dfs;3820000;103.315284000;3820;3820000;0.001000000;103140;7642;0;0;0.000000262;0.000003539;0.000000084;0.000000021;0.000006499;0.268233659;0.020344913;0.010237851;-1;-1;-1;-1
9graph_3820_25_1000.dimacs;matching;fat;3820000;2175.468196000;3820;4510341.328300674;0.000846943;103140;7642;0;0;0.000005522;0.000074522;0.000001767;0.000000015;0.000002662;1;1;1;0.000130856;0.000130856;0.074083770;0.384206275
9graph_3820_25_1000.dimacs;matching;scaling;3820000;993.382956000;3820;3820000;0.001000000;103140;7642;0;0;0.000002521;0.000034029;0.000000807;0.000000083;0.000023881;0.564386464;0.060302151;0.031881355;-1;-1;-1;-1
10graph_3985_25_1000.dimacs;matching;bfs;3985000;2367.419937000;3985;857747340;0.000004646;107595;7972;0.056057438;0.000253083;0.000005521;0.000074521;-0.000004240;0.000002570;0.000002662;1.000125439;1;1;-1;-1;-1;-1
10graph_3985_25_1000.dimacs;matching;dfs;3985000;111.872138000;3985;3985000;0.001000000;107595;7972;0;0;0.000000261;0.000003521;-0.000000200;0.000000020;0.000006480;0.267688982;0.020305737;0.010217073;-1;-1;-1;-1
10graph_3985_25_1000.dimacs;matching;fat;3985000;2382.394732000;3985;4718287.851286856;0.000844586;107595;7972;0;0;0.000005556;0.000074993;-0.000004267;0.000000014;0.000002679;1;1;1;0.000125439;0.000125439;0.074083368;0.384206756
10graph_3985_25_1000.dimacs;matching;scaling;3985000;1077.624204000;3985;3985000;0.001000000;107595;7972;0;0;0.000002513;0.000033921;-0.000001930;0.000000080;0.000023956;0.563149820;0.059770781;0.031593972;-1;-1;-1;-1
11graph_4150_25_1000.dimacs;matching;bfs;4150000;2589.764462000;4150;930239100;0.000004461;112050;8302;0.056073182;0.000243091;0.000005569;0.000075167;-0.000003336;0.000002593;0.000002685;1.000120453;1;1;-1;-1;-1;-1
11graph_4150_25_1000.dimacs;matching;dfs;4150000;133.531445000;4150;4150000;0.001000000;112050;8302;0;0;0.000000287;0.000003876;-0.000000172;0.000000021;0.000007159;0.266495865;0.020241344;0.010182602;-1;-1;-1;-1
11graph_4150_25_1000.dimacs;matching;fat;4150000;2737.025608000;4150;4926766.766886136;0.000842337;112050;8302;0;0;0.000005886;0.000079442;-0.000003526;0.000000015;0.000002838;1;1;1;0.000120453;0.000120453;0.074082999;0.384207200
11graph_4150_25_1000.dimacs;matching;scaling;4150000;1236.228374000;4150;4150000;0.001000000;112050;8302;0;0;0.000002659;0.000035881;-0.000001592;0.000000081;0.000025426;0.562965434;0.059457538;0.031424707;-1;-1;-1;-1
12graph_4315_25_1000.dimacs;matching;bfs;4315000;2869.850408000;4315;1.00567116e+09;0.000004291;116505;8632;0.056057680;0.000233736;0.000005709;0.000077049;-0.000017415;0.000002657;0.000002752;1.000115848;1;1;-1;-1;-1;-1
12graph_4315_25_1000.dimacs;matching;dfs;4315000;132.447282000;4315;4315000;0.001000000;116505;8632;0;0;0.000000263;0.000003556;-0.000000804;0.000000019;0.000006580;0.266180839;0.020197905;0.010159449;-1;-1;-1;-1
12graph_4315_25_1000.dimacs;matching;fat;4315000;2796.232648000;4315;5135756.896285006;0.000840188;116505;8632;0;0;0.000005562;0.000075073;-0.000016968;0.000000013;0.000002682;1;1;1;0.000115848;0.000115848;0.074082657;0.384207609
12graph_4315_25_1000.dimacs;matching;scaling;4315000;1285.780096000;4315;4315000;0.001000000;116505;8632;0;0;0.000002558;0.000034520;-0.000007802;0.000000075;0.000024403;0.561706502;0.059774442;0.031596740;-1;-1;-1;-1
13graph_4480_25_1000.dimacs;matching;bfs;4480000;3063.568493000;4480;1.08404352e+09;0.000004133;120960;8962;0.056076389;0.000225204;0.000005653;0.000076304;0.000005730;0.000002632;0.000002726;1.000111582;1;1;-1;-1;-1;-1
13graph_4480_25_1000.dimacs;matching;dfs;4480000;141.557683000;4480;4480000;0.001000000;120960;8962;0;0;0.000000261;0.000003526;0.000000265;0.000000018;0.000006566;0.265186616;0.020027193;0.010067330;-1;-1;-1;-1
13graph_4480_25_1000.dimacs;matching;fat;4480000;3130.573766000;4480;5345238.681604778;0.000838129;120960;8962;0;0;0.000005777;0.000077972;0.000005856;0.000000013;0.000002785;1;1;1;0.000111582;0.000111582;0.074082341;0.384207989
13graph_4480_25_1000.dimacs;matching;scaling;4480000;1409.050751000;4480;4480000;0.001000000;120960;8962;0;0;0.000002600;0.000035095;0.000002636;0.000000074;0.000024987;0.559998217;0.059198377;0.031285054;-1;-1;-1;-1
14graph_4645_25_1000.dimacs;matching;bfs;4645000;3278.846775000;4645;1.16535618e+09;0.000003986;125415;9292;0.056077822;0.000217213;0.000005628;0.000075967;0.000005651;0.000002620;0.000002714;1.000107619;1;1;-1;-1;-1;-1
14graph_4645_25_1000.dimacs;matching;dfs;4645000;152.264949000;4645;4645000;0.001000000;125415;9292;0;0;0.000000261;0.000003528;0.000000262;0.000000017;0.000006549;0.265076779;0.020150406;0.010134394;-1;-1;-1;-1
14graph_4645_25_1000.dimacs;matching;fat;4645000;3279.966430000;4645;5555194.006630749;0.000836154;125415;9292;0;0;0.000005630;0.000075993;0.000005652;0.000000012;0.000002715;1;1;1;0.000107619;0.000107619;0.074082048;0.384208341
14graph_4645_25_1000.dimacs;matching;scaling;4645000;1482.776178000;4645;4645000;0.001000000;125415;9292;0;0;0.000002545;0.000034354;0.000002555;0.000000070;0.000024641;0.559033339;0.058558016;0.030938516;-1;-1;-1;-1
15graph_4810_25_1000.dimacs;matching;bfs;4810000;3574.283611000;4810;1.24960914e+09;0.000003849;129870;9622;0.056040656;0.000209628;0.000005722;0.000077229;-0.000004645;0.000002664;0.000002759;1.000103928;1;1;-1;-1;-1;-1
15graph_4810_25_1000.dimacs;matching;dfs;4810000;183.640092000;4810;4810000;0.001000000;129870;9622;0;0;0.000000294;0.000003968;-0.000000239;0.000000019;0.000007392;0.264776623;0.020044063;0.010077094;-1;-1;-1;-1
15graph_4810_25_1000.dimacs;matching;fat;4810000;3566.447038000;4810;5765606.043042605;0.000834257;129870;9622;0;0;0.000005709;0.000077059;-0.000004634;0.000000012;0.000002753;1;1;1;0.000103928;0.000103928;0.074081774;0.384208669
15graph_4810_25_1000.dimacs;matching;scaling;4810000;1633.498254000;4810;4810000;0.001000000;129870;9622;0;0;0.000002615;0.000035295;-0.000002123;0.000000070;0.000025324;0.556967898;0.058664343;0.030996412;-1;-1;-1;-1
16graph_4975_25_1000.dimacs;matching;bfs;4975000;3829.630932000;4975;1.3368024e+09;0.000003722;134325;9952;0.056076680;0.000202806;0.000005731;0.000077349;0.000099547;0.000002668;0.000002763;1.000100482;1;1;-1;-1;-1;-1
16graph_4975_25_1000.dimacs;matching;dfs;4975000;176.006898000;4975;4975000;0.001000000;134325;9952;0;0;0.000000263;0.000003555;0.000004575;0.000000017;0.000006635;0.264594253;0.019984276;0.010044991;-1;-1;-1;-1
16graph_4975_25_1000.dimacs;matching;fat;4975000;3861.403882000;4975;5976459.117766501;0.000832433;134325;9952;0;0;0.000005778;0.000077991;0.000100373;0.000000012;0.000002786;1;1;1;0.000100482;0.000100482;0.074081519;0.384208976
