graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
6graph_60_60_25_1000.dimacs;basic_line;dfs;707210;13796.754974200;243497.400000000;1500000;0.162331600;71293;3602;0;0;0.000000397;0.000015729;0.000026863;0.000008418;0.587251605;0.034223983;0.032364183;-1;-1;-1;-1
6graph_60_60_25_1000.dimacs;basic_line;fat;707210;826.108978800;1737;2925370.099153484;0.000593771;71293;3602;0;0;0.000003335;0.000132036;0.000001608;0.000004946;0.645598924;0.628338359;0.658108953;0.938713284;0.662530284;0.052317663;0.346866406
6graph_60_60_25_1000.dimacs;basic_line;scaling;707210;152.728077600;5707;2925370.099153484;0.001950864;71293;3602;0;0;0.000000188;0.000007430;0.000000297;0.000008837;0.236952496;0.016643201;0.015253323;-1;-1;-1;-1
7graph_62_62_25_1000.dimacs;basic_line;bfs;756008;1603.643026400;4935;295880472;0.000016679;76932;3846;0.032171268;0.000520021;0.000002112;0.000084491;0.000002710;0.000002094;0.976419507;0.991412553;0.983990817;-1;-1;-1;-1
7graph_62_62_25_1000.dimacs;basic_line;dfs;756008;14899.340722600;265986;1550000;0.171603871;76932;3846;0;0;0.000000364;0.000014563;0.000025178;0.000008423;0.572040896;0.030534361;0.028922651;-1;-1;-1;-1
7graph_62_62_25_1000.dimacs;basic_line;fat;756008;663.279094800;2136;3164034.183060111;0.000675088;76932;3846;0;0;0.000002018;0.000080739;0.000001121;0.000003243;0.597922400;0.587131120;0.607458346;0.936356855;0.602690962;0.046404508;0.309836301
7graph_62_62_25_1000.dimacs;basic_line;scaling;756008;137.687048400;6171;3164034.183060111;0.001950358;76932;3846;0;0;0.000000145;0.000005801;0.000000233;0.000009054;0.213976341;0.009734796;0.010668253;-1;-1;-1;-1
8graph_64_64_25_1000.dimacs;basic_line;bfs;777356;1737.316839000;5119;337798140;0.000015154;82430;4098;0.031159772;0.000488043;0.000002059;0.000082817;0.000002572;0.000002044;0.974482714;0.988573624;0.983104545;-1;-1;-1;-1
8graph_64_64_25_1000.dimacs;basic_line;dfs;777356;17993.670705200;293471.200000000;1600000;0.183419500;82430;4098;0;0;0.000000372;0.000014962;0.000026634;0.000008440;0.572789975;0.031486951;0.029828511;-1;-1;-1;-1
8graph_64_64_25_1000.dimacs;basic_line;fat;777356;1086.115180400;1971;3397705.328615653;0.000580097;82430;4098;0;0;0.000003343;0.000134467;0.000001608;0.000005300;0.604912891;0.587774766;0.615680082;0.934476582;0.619531895;0.051921305;0.347958759
